weight:	"[0.8, 0.1, 0.05, 0.5]"		
song name.	difficulty name	level	calculated level
DIABLOSIS::N?ga	extended	15	295.5722751
Úªô¢ª¤«¹«Ú?«¹«·«ã«È«ëªÇª³ª¤ª·ª¬Úªô¢ª¤ª¦ª¿	infinite	17	237.9955622
DIABLOSIS::N?ga	infinite	16	212.1293133
cross the future 	extended	15	203.7736463
«·«ç«Ã«È«¬«ó?«é«ô«¡?«º	extended	14	155.5345169
ª­ª¿ªµª¤ª¿ªÞ2000	infinite	19	154.4720416
A Lasting Promise	infinite	19	145.6277652
Lo-Fi-M	extended	14	145.4820954
ä²?Òý«¤«Î«»«ó«¹	extended	14	142.3137432
ELECT	challenge	8	132.3695613
NEO TREASON	extended	15	131.2119546
EMPIRE OF FLAME	extended	15	123.7268065
conflict	extended	15	113.3736405
Juggler's Maddness	infinite	18	107.4141381
The world of sound	infinite	18	105.7960402
iLLness LiLin	challenge	15	105.5054685
ä¢ú­«·«Æ«£«¢«ó«À?«°«é«¦«ó«É	extended	14	105.4888773
Fire Strike	infinite	17	104.0110771
Get back here	infinite	15	103.370892
Poison Blood	extended	14	100.5078705
«««ß«µ«Þ«Í«¸«Þ«­	infinite	15	99.53230421
«Û«áÙÞ¡Ù«»«ó«»?«·«ç«ó	extended	14	97.87660677
Get back here	extended	14	96.96131804
àÊúÅü£ûý SDVX edit	infinite	14	96.93984831
Emperor's Divide	extended	15	96.9086547
«Ö«Á«¢«²«É«¯«¿?¡Ù«Ï«¤«Æ«Ã«³ß²í«ØÙ	extended	14	96.18213168
iLLness LiLin	extended	17	95.93844979
«×«ì«¤«ó«¨«¤«¸«¢ -PHQ remix-	extended	14	95.45936152
«­«º«Ê	extended	13	95.32703212
úÂ?	extended	14	95.29913675
IKAROS DYNAMITE!!!!	extended	15	93.31354393
GO BACK 2 YOUR RAVE	extended	14	92.43328462
?ìÏ - Black Wings - SDVX Edit. -	extended	14	91.79334719
Inscape	infinite	17	89.54628128
ª¸ªå?ª¸ªå?¢¾?ë¿ªÎûýª«ªé«Õ«§«Ë«Ã«¯«¹£¡£¿¢¦î¢÷«ªÎ¢Ó÷©ûý?ª­¢¦	extended	15	89.5321429
Oriental Blossom	extended	14	87.54123221
«À«Ö«ë«é«ê«¢«Ã«È	extended	14	87.22982611
Enigma	challenge	12	86.1808498
ELECT	extended	14	85.83752094
macaron	extended	14	83.17103828
Last Resort	infinite	19	82.86798886
õ±êÆª·ªÆª·ªÞªÃª¿ù¨Ò³ªÈÐìªòßæªßÕªª·ª¿×âë¦	infinite	18	79.66523752
ô¶Ò´«Î×â	extended	13	79.3331691
TRICKL4SH 220	infinite	18	79.12474323
Jump!	extended	13	79.02729602
The star in eclipse	extended	15	78.24045657
I	infinite	20	76.89467419
StrayedCatz	infinite	15	76.30476663
«ª«ó«Ç«£?«ÌªÎ?	infinite	17	75.96804095
NEO TREASON	infinite	15	75.63239083
JULIAN	infinite	16	75.38938472
Time to Air -Fly High Remix-	extended	15	75.13583621
veRtrageS	light	6	74.74917132
Go¡éGo¡èGirls&Boys!	extended	14	74.71742776
¡é¡é¡é	extended	15	74.6978115
Innocent Eyes	challenge	8	74.47252183
Broken 8cmix	infinite	18	73.39762619
EOS -INFINITE EDIT-	infinite	14	72.58957667
ÔÔÛ°èí?ÙÓ ULTIMATE MEDLEY	extended	15	72.23618913
Onigo	infinite	18	72.04324327
Fin.ArcDeaR	infinite	19	72.01682565
Virtual Bit	extended	15	71.72904442
